position_id,game_id,ply_index,fullmove_number,side_to_move,player_elo,white_elo,black_elo,white,black,fen,actual_move_uci,actual_move_san,high_complexity,complexity_score,image_path,inference_status,elo_bucket_start,elo_bucket_label,maia_rank,maia_probability,maia_covered,maia_hit_at_1,maia_hit_at_3,maia_hit_at_5,stockfish_rank_found,stockfish_rank_clipped,stockfish_topk,stockfish_score_text,stockfish_covered,stockfish_hit_at_1,stockfish_hit_at_3,stockfish_hit_at_5
55UlGeb9_ply_39,55UlGeb9,39,20,black,1096,1115,1096,mianfo,rafamoraes82,r4rk1/1q3ppp/4p3/p2PP3/1p6/1P6/1P3PPP/R2Q1RK1 b - - 0 20,f8d8,Rfd8,True,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_39.png,success,1000,1000-1099,3,0.0468,True,False,True,True,17,17,20,-2.05,True,False,False,False
55UlGeb9_ply_41,55UlGeb9,41,21,black,1096,1115,1096,mianfo,rafamoraes82,r2r2k1/1q3ppp/3Pp3/p3P3/1p6/1P6/1P3PPP/R2Q1RK1 b - - 0 21,b7b5,Qb5,True,25,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_41.png,success,1000,1000-1099,1,0.2171,True,True,True,True,3,3,20,-2.61,True,False,True,True
55UlGeb9_ply_43,55UlGeb9,43,22,black,1096,1115,1096,mianfo,rafamoraes82,r2r2k1/5ppp/3Pp3/pq2P3/1p6/1P6/1P3PPP/R2QR1K1 b - - 2 22,d8d7,Rd7,True,24,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_43.png,success,1000,1000-1099,3,0.1149,True,False,True,True,,21,20,,False,False,False,False
55UlGeb9_ply_45,55UlGeb9,45,23,black,1096,1115,1096,mianfo,rafamoraes82,r5k1/3r1ppp/3Pp3/pq2P3/1p6/1P6/1P3PPP/2RQR1K1 b - - 4 23,a5a4,a4,True,27,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_45.png,success,1000,1000-1099,1,0.4271,True,True,True,True,,21,20,,False,False,False,False
55UlGeb9_ply_47,55UlGeb9,47,24,black,1096,1115,1096,mianfo,rafamoraes82,r5k1/3r1ppp/3Pp3/1q2P3/Pp6/8/1P3PPP/2RQR1K1 b - - 0 24,a8a4,Rxa4,True,15,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_47.png,success,1000,1000-1099,1,0.6953,True,True,True,True,,21,20,,False,False,False,False
NMpl1Q91_ply_18,NMpl1Q91,18,10,white,1095,1095,1068,greengrass888,KyleWebb,r2qk2r/2p2ppp/ppbbpn2/3p4/3P1B2/2P1PN2/PP3PPP/RN1Q1RK1 w kq - 0 10,f4d6,Bxd6,True,21,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_18.png,success,1000,1000-1099,1,0.3827,True,True,True,True,11,11,20,-0.43,True,False,False,False
NMpl1Q91_ply_19,NMpl1Q91,19,10,black,1068,1095,1068,greengrass888,KyleWebb,r2qk2r/2p2ppp/ppbBpn2/3p4/3P4/2P1PN2/PP3PPP/RN1Q1RK1 b kq - 0 10,d8d6,Qxd6,True,13,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_19.png,success,1000,1000-1099,1,0.8258,True,True,True,True,2,2,20,+0.10,True,False,True,True
NMpl1Q91_ply_20,NMpl1Q91,20,11,white,1095,1095,1068,greengrass888,KyleWebb,r3k2r/2p2ppp/ppbqpn2/3p4/3P4/2P1PN2/PP3PPP/RN1Q1RK1 w kq - 0 11,f3g5,Ng5,True,13,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_20.png,success,1000,1000-1099,7,0.0274,True,False,False,False,18,18,20,-0.37,True,False,False,False
NMpl1Q91_ply_21,NMpl1Q91,21,11,black,1068,1095,1068,greengrass888,KyleWebb,r3k2r/2p2ppp/ppbqpn2/3p2N1/3P4/2P1P3/PP3PPP/RN1Q1RK1 b kq - 1 11,e8g8,O-O,True,22,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_21.png,success,1000,1000-1099,1,0.4101,True,True,True,True,6,6,20,+0.30,True,False,False,False
NMpl1Q91_ply_22,NMpl1Q91,22,12,white,1095,1095,1068,greengrass888,KyleWebb,r4rk1/2p2ppp/ppbqpn2/3p2N1/3P4/2P1P3/PP3PPP/RN1Q1RK1 w - - 2 12,f2f4,f4,True,39,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_22.png,success,1000,1000-1099,7,0.0398,True,False,False,False,11,11,20,-0.53,True,False,False,False
NMpl1Q91_ply_23,NMpl1Q91,23,12,black,1068,1095,1068,greengrass888,KyleWebb,r4rk1/2p2ppp/ppbqpn2/3p2N1/3P1P2/2P1P3/PP4PP/RN1Q1RK1 b - - 0 12,h7h6,h6,True,31,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_23.png,success,1000,1000-1099,1,0.3738,True,True,True,True,3,3,20,+0.37,True,False,True,True
NMpl1Q91_ply_24,NMpl1Q91,24,13,white,1095,1095,1068,greengrass888,KyleWebb,r4rk1/2p2pp1/ppbqpn1p/3p2N1/3P1P2/2P1P3/PP4PP/RN1Q1RK1 w - - 0 13,g5h3,Nh3,True,26,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_24.png,success,1000,1000-1099,2,0.2479,True,False,True,True,2,2,20,-0.66,True,False,True,True
NMpl1Q91_ply_25,NMpl1Q91,25,13,black,1068,1095,1068,greengrass888,KyleWebb,r4rk1/2p2pp1/ppbqpn1p/3p4/3P1P2/2P1P2N/PP4PP/RN1Q1RK1 b - - 1 13,a6a5,a5,True,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_25.png,success,1000,1000-1099,5,0.0644,True,False,False,True,1,1,20,+0.60,True,True,True,True
NMpl1Q91_ply_26,NMpl1Q91,26,14,white,1095,1095,1068,greengrass888,KyleWebb,r4rk1/2p2pp1/1pbqpn1p/p2p4/3P1P2/2P1P2N/PP4PP/RN1Q1RK1 w - - 0 14,b1d2,Nd2,True,23,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_26.png,success,1000,1000-1099,1,0.2965,True,True,True,True,3,3,20,-0.58,True,False,True,True
NMpl1Q91_ply_27,NMpl1Q91,27,14,black,1068,1095,1068,greengrass888,KyleWebb,r4rk1/2p2pp1/1pbqpn1p/p2p4/3P1P2/2P1P2N/PP1N2PP/R2Q1RK1 b - - 1 14,f8e8,Rfe8,True,28,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_27.png,success,1000,1000-1099,5,0.0726,True,False,False,True,13,13,20,+0.30,True,False,False,False
NMpl1Q91_ply_28,NMpl1Q91,28,15,white,1095,1095,1068,greengrass888,KyleWebb,r3r1k1/2p2pp1/1pbqpn1p/p2p4/3P1P2/2P1P2N/PP1N2PP/R2Q1RK1 w - - 2 15,d2f3,Nf3,True,14,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_28.png,success,1000,1000-1099,1,0.2694,True,True,True,True,8,8,20,-0.43,True,False,False,False
NMpl1Q91_ply_29,NMpl1Q91,29,15,black,1068,1095,1068,greengrass888,KyleWebb,r3r1k1/2p2pp1/1pbqpn1p/p2p4/3P1P2/2P1PN1N/PP4PP/R2Q1RK1 b - - 3 15,f6e4,Ne4,True,41,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_29.png,success,1000,1000-1099,1,0.2338,True,True,True,True,3,3,20,+0.41,True,False,True,True
NMpl1Q91_ply_30,NMpl1Q91,30,16,white,1095,1095,1068,greengrass888,KyleWebb,r3r1k1/2p2pp1/1pbqp2p/p2p4/3PnP2/2P1PN1N/PP4PP/R2Q1RK1 w - - 4 16,d1e1,Qe1,True,25,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_30.png,success,1000,1000-1099,8,0.03,True,False,False,False,,21,20,,False,False,False,False
NMpl1Q91_ply_31,NMpl1Q91,31,16,black,1068,1095,1068,greengrass888,KyleWebb,r3r1k1/2p2pp1/1pbqp2p/p2p4/3PnP2/2P1PN1N/PP4PP/R3QRK1 b - - 5 16,d6e7,Qe7,True,37,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_31.png,success,1000,1000-1099,10,0.0175,True,False,False,False,4,4,20,+0.76,True,False,False,True
NMpl1Q91_ply_32,NMpl1Q91,32,17,white,1095,1095,1068,greengrass888,KyleWebb,r3r1k1/2p1qpp1/1pb1p2p/p2p4/3PnP2/2P1PN1N/PP4PP/R3QRK1 w - - 6 17,f3d2,Nd2,True,12,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_32.png,success,1000,1000-1099,4,0.0565,True,False,False,True,7,7,20,-1.03,True,False,False,False
NMpl1Q91_ply_33,NMpl1Q91,33,17,black,1068,1095,1068,greengrass888,KyleWebb,r3r1k1/2p1qpp1/1pb1p2p/p2p4/3PnP2/2P1P2N/PP1N2PP/R3QRK1 b - - 7 17,e4d2,Nxd2,True,10,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_33.png,success,1000,1000-1099,1,0.5455,True,True,True,True,7,7,20,+0.47,True,False,False,False
NMpl1Q91_ply_34,NMpl1Q91,34,18,white,1095,1095,1068,greengrass888,KyleWebb,r3r1k1/2p1qpp1/1pb1p2p/p2p4/3P1P2/2P1P2N/PP1n2PP/R3QRK1 w - - 0 18,e1d2,Qxd2,False,7,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_34.png,success,1000,1000-1099,1,0.9945,True,True,True,True,1,1,20,-0.25,True,True,True,True
NMpl1Q91_ply_35,NMpl1Q91,35,18,black,1068,1095,1068,greengrass888,KyleWebb,r3r1k1/2p1qpp1/1pb1p2p/p2p4/3P1P2/2P1P2N/PP1Q2PP/R4RK1 b - - 0 18,f7f6,f6,True,10,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_35.png,success,1000,1000-1099,3,0.0786,True,False,True,True,1,1,20,+0.41,True,True,True,True
NMpl1Q91_ply_36,NMpl1Q91,36,19,white,1095,1095,1068,greengrass888,KyleWebb,r3r1k1/2p1q1p1/1pb1pp1p/p2p4/3P1P2/2P1P2N/PP1Q2PP/R4RK1 w - - 0 19,g2g4,g4,True,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_36.png,success,1000,1000-1099,12,0.0382,True,False,False,False,11,11,20,-0.52,True,False,False,False
NMpl1Q91_ply_37,NMpl1Q91,37,19,black,1068,1095,1068,greengrass888,KyleWebb,r3r1k1/2p1q1p1/1pb1pp1p/p2p4/3P1PP1/2P1P2N/PP1Q3P/R4RK1 b - - 0 19,e6e5,e5,True,44,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_37.png,success,1000,1000-1099,1,0.2505,True,True,True,True,1,1,20,+0.64,True,True,True,True
NMpl1Q91_ply_38,NMpl1Q91,38,20,white,1095,1095,1068,greengrass888,KyleWebb,r3r1k1/2p1q1p1/1pb2p1p/p2pp3/3P1PP1/2P1P2N/PP1Q3P/R4RK1 w - - 0 20,d2g2,Qg2,True,48,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_38.png,success,1000,1000-1099,7,0.016,True,False,False,False,5,5,20,-0.91,True,False,False,True
NMpl1Q91_ply_39,NMpl1Q91,39,20,black,1068,1095,1068,greengrass888,KyleWebb,r3r1k1/2p1q1p1/1pb2p1p/p2pp3/3P1PP1/2P1P2N/PP4QP/R4RK1 b - - 1 20,e5d4,exd4,True,21,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_39.png,success,1000,1000-1099,1,0.3775,True,True,True,True,1,1,20,+1.26,True,True,True,True
NMpl1Q91_ply_40,NMpl1Q91,40,21,white,1095,1095,1068,greengrass888,KyleWebb,r3r1k1/2p1q1p1/1pb2p1p/p2p4/3p1PP1/2P1P2N/PP4QP/R4RK1 w - - 0 21,e3d4,exd4,True,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_40.png,success,1000,1000-1099,1,0.5515,True,True,True,True,1,1,20,-0.85,True,True,True,True
NMpl1Q91_ply_41,NMpl1Q91,41,21,black,1068,1095,1068,greengrass888,KyleWebb,r3r1k1/2p1q1p1/1pb2p1p/p2p4/3P1PP1/2P4N/PP4QP/R4RK1 b - - 0 21,e7e2,Qe2,True,40,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_41.png,success,1000,1000-1099,6,0.0466,True,False,False,False,13,13,20,+0.35,True,False,False,False
NMpl1Q91_ply_42,NMpl1Q91,42,22,white,1095,1095,1068,greengrass888,KyleWebb,r3r1k1/2p3p1/1pb2p1p/p2p4/3P1PP1/2P4N/PP2q1QP/R4RK1 w - - 1 22,f1f2,Rf2,True,35,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_42.png,success,1000,1000-1099,4,0.1074,True,False,False,True,1,1,20,-0.52,True,True,True,True
NMpl1Q91_ply_43,NMpl1Q91,43,22,black,1068,1095,1068,greengrass888,KyleWebb,r3r1k1/2p3p1/1pb2p1p/p2p4/3P1PP1/2P4N/PP2qRQP/R5K1 b - - 2 22,e2e4,Qe4,True,31,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_43.png,success,1000,1000-1099,2,0.1891,True,False,True,True,2,2,20,+0.32,True,False,True,True
NMpl1Q91_ply_44,NMpl1Q91,44,23,white,1095,1095,1068,greengrass888,KyleWebb,r3r1k1/2p3p1/1pb2p1p/p2p4/3PqPP1/2P4N/PP3RQP/R5K1 w - - 3 23,g4g5,g5,True,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_44.png,success,1000,1000-1099,2,0.1474,True,False,True,True,7,7,20,-1.01,True,False,False,False
NMpl1Q91_ply_45,NMpl1Q91,45,23,black,1068,1095,1068,greengrass888,KyleWebb,r3r1k1/2p3p1/1pb2p1p/p2p2P1/3PqP2/2P4N/PP3RQP/R5K1 b - - 0 23,e4g2,Qxg2+,True,21,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_45.png,success,1000,1000-1099,1,0.3523,True,True,True,True,1,1,20,+1.02,True,True,True,True
NMpl1Q91_ply_46,NMpl1Q91,46,24,white,1095,1095,1068,greengrass888,KyleWebb,r3r1k1/2p3p1/1pb2p1p/p2p2P1/3P1P2/2P4N/PP3RqP/R5K1 w - - 0 24,f2g2,Rxg2,True,10,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_46.png,success,1000,1000-1099,1,0.6095,True,True,True,True,2,2,2,-1.03,True,False,True,True
NMpl1Q91_ply_47,NMpl1Q91,47,24,black,1068,1095,1068,greengrass888,KyleWebb,r3r1k1/2p3p1/1pb2p1p/p2p2P1/3P1P2/2P4N/PP4RP/R5K1 b - - 0 24,c6d7,Bd7,False,8,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_47.png,success,1000,1000-1099,5,0.0169,True,False,False,True,1,1,20,+1.38,True,True,True,True
NMpl1Q91_ply_48,NMpl1Q91,48,25,white,1095,1095,1068,greengrass888,KyleWebb,r3r1k1/2pb2p1/1p3p1p/p2p2P1/3P1P2/2P4N/PP4RP/R5K1 w - - 1 25,h3f2,Nf2,True,21,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_48.png,success,1000,1000-1099,3,0.1903,True,False,True,True,2,2,20,-1.56,True,False,True,True
NMpl1Q91_ply_49,NMpl1Q91,49,25,black,1068,1095,1068,greengrass888,KyleWebb,r3r1k1/2pb2p1/1p3p1p/p2p2P1/3P1P2/2P5/PP3NRP/R5K1 b - - 2 25,f6f5,f5,False,8,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_49.png,success,1000,1000-1099,5,0.0106,True,False,False,True,,21,20,,False,False,False,False
NMpl1Q91_ply_50,NMpl1Q91,50,26,white,1095,1095,1068,greengrass888,KyleWebb,r3r1k1/2pb2p1/1p5p/p2p1pP1/3P1P2/2P5/PP3NRP/R5K1 w - - 0 26,g1f1,Kf1,True,15,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_50.png,success,1000,1000-1099,6,0.0245,True,False,False,False,18,18,20,-1.10,True,False,False,False
NMpl1Q91_ply_51,NMpl1Q91,51,26,black,1068,1095,1068,greengrass888,KyleWebb,r3r1k1/2pb2p1/1p5p/p2p1pP1/3P1P2/2P5/PP3NRP/R4K2 b - - 1 26,g8f7,Kf7,True,24,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_51.png,success,1000,1000-1099,11,0.003,True,False,False,False,4,4,20,+0.88,True,False,False,True
NMpl1Q91_ply_52,NMpl1Q91,52,27,white,1095,1095,1068,greengrass888,KyleWebb,r3r3/2pb1kp1/1p5p/p2p1pP1/3P1P2/2P5/PP3NRP/R4K2 w - - 2 27,f1g1,Kg1,True,23,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_52.png,success,1000,1000-1099,9,0.0044,True,False,False,False,2,2,20,-0.83,True,False,True,True
NMpl1Q91_ply_53,NMpl1Q91,53,27,black,1068,1095,1068,greengrass888,KyleWebb,r3r3/2pb1kp1/1p5p/p2p1pP1/3P1P2/2P5/PP3NRP/R5K1 b - - 3 27,h6h5,h5,True,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_53.png,success,1000,1000-1099,2,0.131,True,False,True,True,2,2,20,+0.33,True,False,True,True
NMpl1Q91_ply_54,NMpl1Q91,54,28,white,1095,1095,1068,greengrass888,KyleWebb,r3r3/2pb1kp1/1p6/p2p1pPp/3P1P2/2P5/PP3NRP/R5K1 w - - 0 28,g5g6,g6+,True,16,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_54.png,success,1000,1000-1099,2,0.3817,True,False,True,True,3,3,20,-0.65,True,False,True,True
NMpl1Q91_ply_55,NMpl1Q91,55,28,black,1068,1095,1068,greengrass888,KyleWebb,r3r3/2pb1kp1/1p4P1/p2p1p1p/3P1P2/2P5/PP3NRP/R5K1 b - - 0 28,f7f6,Kf6,True,24,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/NMpl1Q91_ply_55.png,success,1000,1000-1099,1,0.7699,True,True,True,True,1,1,5,+0.61,True,True,True,True
